Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
68,Exit long,2025-11-04 20:35,TP,100087.7,0.020034,2013.284776,-8.13,-0.40,4.37,0.22,-10.6,-0.53,4764.29,0.48
68,Entry long,2025-11-04 20:30,L67,100493.4,0.020034,2013.284776,-8.13,-0.40,4.37,0.22,-10.6,-0.53,4764.29,0.48
69,Exit long,2025-11-05 05:15,TP,102209.1,0.984495,98935.24983,1689.1,1.71,1804.58,1.82,-1579.72,-1.60,6453.39,0.65
69,Entry long,2025-11-04 20:30,L67,100493.4,0.984495,98935.24983,1689.1,1.71,1804.58,1.82,-1579.72,-1.60,6453.39,0.65
70,Exit long,2025-11-06 16:05,TP,102121.9,0.985641,100517.2462,138.29,0.14,138.29,0.14,-43.86,-0.04,6591.68,0.66
70,Entry long,2025-11-06 16:00,L68,101981.6,0.985641,100517.2462,138.29,0.14,138.29,0.14,-43.86,-0.04,6591.68,0.66
71,Exit long,2025-11-07 11:35,TP,100000,1.00659,100543.2422,115.76,0.12,250.94,0.25,-58.38,-0.06,6707.43,0.67
71,Entry long,2025-11-07 11:30,L69,99885,1.00659,100543.2422,115.76,0.12,250.94,0.25,-58.38,-0.06,6707.43,0.67
72,Exit long,2025-11-09 03:45,TP,101601,0.991874,100724.9039,50.49,0.05,165.05,0.16,-0.1,0.00,6757.92,0.68
72,Entry long,2025-11-09 03:40,L70,101550.1,0.991874,100724.9039,50.49,0.05,165.05,0.16,-0.1,0.00,6757.92,0.68
73,Exit long,2025-11-11 13:45,TP,104312.4,0.965185,100687.2305,-6.47,-0.01,133.97,0.13,-70.65,-0.07,6751.45,0.68
73,Entry long,2025-11-11 13:40,L71,104319.1,0.965185,100687.2305,-6.47,-0.01,133.97,0.13,-70.65,-0.07,6751.45,0.68
74,Exit long,2025-11-11 18:00,TP,103294,0.977574,100848.3912,129.14,0.13,191.31,0.19,-0.1,0.00,6880.59,0.69
74,Entry long,2025-11-11 17:55,L72,103161.9,0.977574,100848.3912,129.14,0.13,191.31,0.19,-0.1,0.00,6880.59,0.69
75,Exit long,2025-11-12 19:25,TP,101122.1,0.995784,100685.0148,10.75,0.01,88.33,0.09,-44.41,-0.04,6891.35,0.69
75,Entry long,2025-11-12 19:20,L73,101111.3,0.995784,100685.0148,10.75,0.01,88.33,0.09,-44.41,-0.04,6891.35,0.69
76,Exit long,2025-11-13 23:20,TP,100339.9,1.005115,100495.6192,357.52,0.36,357.52,0.36,-2035.56,-2.03,7248.87,0.72
76,Entry long,2025-11-13 17:45,L74,99984.2,1.005115,100495.6192,357.52,0.36,357.52,0.36,-2035.56,-2.03,7248.87,0.72
77,Exit long,2025-11-14 07:05,TP,97133.6,1.042092,101636.2749,-414.13,-0.41,190.91,0.19,-462.27,-0.45,6834.74,0.68
77,Entry long,2025-11-14 07:00,L75,97531,1.042092,101636.2749,-414.13,-0.41,190.91,0.19,-462.27,-0.45,6834.74,0.68
78,Exit long,2025-11-14 13:00,TP,95327,1.056351,100614.5806,84.19,0.08,198.59,0.20,-153.91,-0.15,6918.93,0.69
78,Entry long,2025-11-14 12:55,L76,95247.3,1.056351,100614.5806,84.19,0.08,198.59,0.20,-153.91,-0.15,6918.93,0.69
